character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
磕,collide with,,,2493,,kē,stone + go + dish,⿰ (left-right),⿰石盍,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span><br><span style=""color:#1a5276"">皿</span> <span style=""color:#666"">dish</span>",,RSH,RSH2::L37
磨,grind,,,1786,,mó / mò,hemp + stone,⿸ (top-left-wrap),⿸麻石,"<span style=""color:#1a5276"">麻</span> <span style=""color:#666"">hemp</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span>",,RSH RTH RTK,RSH2::L21
磷,phosphorous,,,2917,,lín,stone + jack-o’-lantern,⿰ (left-right),⿰石粦,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">粦</span> <span style=""color:#666"">jack-o’-lantern</span>",,RSH,RSH2::L54
礁,reef,,,1772,,jiāo,stone + roast turkey,⿰ (left-right),⿰石焦,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">焦</span> <span style=""color:#666"">apprehensive</span> <span style=""color:#999"">(alias: roast turkey)</span>",,RSH RTH RTK,RSH2::L20
示,show,altar,,900,,shì,two + small,⿱ (top-bottom),⿱二小,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RSH1::L29 primitive
礼,ceremony,,,902,,lǐ,altar + fishhook,⿰ (left-right),⿰礻乚,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",TH: 禮,RSH RTK,RSH1::L29
社,society,,,901,,shè,altar + soil,⿰ (left-right),⿰礻土,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span>",,RSH RTH RTK,RSH1::L29
祈,supplicate,,,2186,,qí,altar + tomahawk,⿰ (left-right),⿰礻斤,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RSH2::L30
祖,ancestor,,,1348,,zǔ,altar + shelves,⿰ (left-right),⿰礻且,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">且</span> <span style=""color:#666"">moreover</span> <span style=""color:#999"">(alias: shelves)</span>",,RSH RTH RTK,RSH1::L46
祝,wish well,,,2162,,zhù,altar + teenager,⿰ (left-right),⿰礻兄,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">兄</span> <span style=""color:#666"">elder brother</span> <span style=""color:#999"">(alias: teenager)</span>",,RSH RTH RTK,RSH2::L29
神,gods,,,920,,shén,altar + monkey,⿰ (left-right),⿰礻申,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span>",,RSH RTH RTK,RSH1::L29
祟,evil spirit,,,2161,,suì,exit + altar,⿱ (top-bottom),⿱出示,"<span style=""color:#1a5276"">出</span> <span style=""color:#666"">exit</span><br><span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span>",,RSH RTH RTK,RSH2::L29
祥,propitious,,,2163,,xiáng,altar + sheep,⿰ (left-right),⿰礻羊,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">羊</span> <span style=""color:#666"">sheep</span>",,RSH RTH RTK,RSH2::L29
票,ticket,,,1258,,piào,Old West + altar,⿱ (top-bottom),⿱覀示,"<span style=""color:#1a5276"">西</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span><br><span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span>",,RSH RTH RTK,RSH1::L40
祭,offer sacrifice,,,910,,jì,flesh + crotch + altar,⿱ (top-bottom),⿱{21}示,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span><br><span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span>",,RSH RTH RTK,RSH1::L29
祷,pray,,,2579,,dǎo,"altar + long, gray, beard",⿰ (left-right),⿰礻寿,"<span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span><br><span style=""color:#1a5276"">寿</span> <span style=""color:#666"">longevity</span> <span style=""color:#999"">(alias: long, gray, beard)</span>",TH: 禱,RSH RTK,RSH2::L39
