character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
审,painstaking,,,2176,,shěn,house + monkey,⿱ (top-bottom),⿱宀申,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span>",TH: 審 | JP: 審,RSH,RSH2::L29
客,guest,,,312,,kè,house + each,⿱ (top-bottom),⿱宀各,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">各</span> <span style=""color:#666"">each</span>",,RSH RTH RTK,RSH1::L13
宣,proclaim,"sunrise, sunset",,195,,xuān,house + daybreak + sun,⿱ (top-bottom),⿱宀亘,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,RSH RTH RTK,RSH1::L09 primitive
室,room,,,679,,shì,house + until,⿱ (top-bottom),⿱宀至,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">至</span> <span style=""color:#666"">until</span>",,RSH RTH RTK,RSH1::L22
宪,constitution,,,1596,,xiàn,house + before,⿱ (top-bottom),⿱宀先,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">先</span> <span style=""color:#666"">before</span>",TH: 憲 | JP: 憲,RSH,RSH2::L11
宫,palace,,,2121,,gōng,house + spine,⿱ (top-bottom),⿱宀吕,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span>",TH: 宮 | JP: 宮,RSH,RSH2::L27
宰,butcher,,,2553,,zǎi,house + chili pepper,⿱ (top-bottom),⿱宀辛,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">辛</span> <span style=""color:#666"">peppery</span> <span style=""color:#999"">(alias: chili pepper)</span>",,RSH RTH RTK,RSH2::L38
害,harm,,,1226,,hài,house + bushes + mouth,⿱ (top-bottom),⿱𫲸口,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">丰</span> <span style=""color:#666"">plentiful</span> <span style=""color:#999"">(alias: bushes)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RSH1::L39
宴,banquet,,,198,,yàn,day + woman + house + peaceful,⿱ (top-bottom),⿱宀妟,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun, tongue wagging in the mouth)</span><br><span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">安</span> <span style=""color:#666"">peaceful</span>",,RSH RTH RTK,RSH1::L09
宵,nighttime,,,196,,xiāo,house + candle,⿱ (top-bottom),⿱宀肖,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble</span> <span style=""color:#999"">(alias: candle)</span>",,RSH RTH RTK,RSH1::L09
家,house,,,525,,jiā,house + sow,⿱ (top-bottom),⿱宀豕,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">豕</span> <span style=""color:#666"">sow</span>",,RSH RTH RTK,RSH1::L20
容,contain,,,701,,róng,house + valley,⿱ (top-bottom),⿱宀谷,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">谷</span> <span style=""color:#666"">valley</span>",,RSH RTH RTK,RSH1::L23
宽,wide,,,230,,kuān,house + see + flower,⿱ (top-bottom),⿱宀苋,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">见</span> <span style=""color:#666"">see</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",TH: 寬 | JP: 寛,RSH,RSH1::L10
宾,visitor,,,2369,,bīn,troops + house,⿱ (top-bottom),⿱宀兵,"<span style=""color:#1a5276"">兵</span> <span style=""color:#666"">troops</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span>",TH: 賓 | JP: 賓,RSH,RSH2::L34
宿,stay overnight,,,2074,,sù / xiǔ / xiù,house + person + hundred,⿱ (top-bottom),⿱宀佰,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">百</span> <span style=""color:#666"">hundred</span>",,RSH RTH RTK,RSH2::L26
寂,lonely,,,655,,jì,house + uncle,⿱ (top-bottom),⿱宀叔,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">叔</span> <span style=""color:#666"">uncle</span>",,RSH RTH RTK,RSH1::L22
寄,mail,,,199,,jì,strange + house,⿱ (top-bottom),⿱宀奇,"<span style=""color:#1a5276"">奇</span> <span style=""color:#666"">strange</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span>",,RSH RTH RTK,RSH1::L09
寅,sign of the tiger,,,1465,,yín,house + ceiling + sprout + animal legs,⿱ (top-bottom),⿱宀⿳一由八,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: sprout)</span><br><span style=""color:#1a5276"">囧只－口</span> <span style=""color:#666"">animal legs</span>",,RSH RTH RTK,RSH1::L54
密,secret,,,692,,mì,house + certainly + mountain,⿱ (top-bottom),⿱宓山,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">必</span> <span style=""color:#666"">certainly</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RSH1::L23
寇,outlaw,,,1885,,kòu,finish + magic wand + crotch,⿱ (top-bottom),⿱宀⿺元攴,"<span style=""color:#1a5276"">完</span> <span style=""color:#666"">finish</span><br><span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: magic wand)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span>",,RSH RTH,RSH2::L22
富,wealthy,,,200,,fù,wealth + house,⿱ (top-bottom),⿱宀畐,"<span style=""color:#1a5276"">畐</span> <span style=""color:#666"">wealth</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span>",,RSH RTH RTK,RSH1::L09
寒,frigid,,,1205,,hán,hamster cage + ice,⿱ (top-bottom),⿱𡨄⺀,"<span style=""color:#1a5276"">囧赛－贝</span> <span style=""color:#666"">hamster cage</span><br><span style=""color:#1a5276"">冫</span> <span style=""color:#666"">ice</span>",,RSH RTH RTK,RSH1::L38
寓,residence,,,2876,,yù,house + Talking Cricket,⿱ (top-bottom),⿱宀禺,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">禺</span> <span style=""color:#666"">Talking Cricket</span>",,RSH RTH RTK,RSH2::L52
寝,get some shuteye,,,2202,,qǐn,house + turtle + dunce,⿱ (top-bottom),⿱宀⿰丬𠬶,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">兆</span> <span style=""color:#666"">portent</span> <span style=""color:#999"">(alias: turtle)</span><br><span style=""color:#1a5276"">囧浸－氵</span> <span style=""color:#666"">dunce</span>",TH: 寢,RSH RTK,RSH2::L30
寞,solitary,,,1586,,mò,house + graveyard,⿱ (top-bottom),⿱宀莫,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">莫</span> <span style=""color:#666"">nobody</span> <span style=""color:#999"">(alias: graveyard)</span>",,RSH RTH,RSH2::L10
察,scrutinize,,,911,,chá,house + offer sacrifice,⿱ (top-bottom),⿱宀祭,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">祭</span> <span style=""color:#666"">offer sacrifice</span>",,RSH RTH RTK,RSH1::L29
寡,widowed,,,1559,,guǎ,house + ceiling + nose + tool + dagger,⿱ (top-bottom),⿱宀𪟊,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: ceiling)</span><br><span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span> <span style=""color:#999"">(alias: nose)</span><br><span style=""color:#1a5276"">囧具－目</span> <span style=""color:#666"">tool</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span>",,RSH RTH RTK,RSH2::L09
寥,deserted,,,2708,,liáo,house + kiddie cocktail,⿱ (top-bottom),⿱宀翏,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">翏</span> <span style=""color:#666"">kiddie cocktail</span>",,RSH RTH,RSH2::L44
寨,stockade,,,2565,,zhài,hamster cage + pole,⿱ (top-bottom),⿱𡨄木,"<span style=""color:#1a5276"">囧赛－贝</span> <span style=""color:#666"">hamster cage</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: pole)</span>",,RSH RTH,RSH2::L38
寸,Chinese inch,glue · glued to,,166,,cùn,a drop of + ten,⿹ (top-right-wrap),⿹𬺰丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,RSH RTH RTK,RSH1::L08 primitive
对,that's right,,,642,,duì,crotch + glue,⿰ (left-right),⿰又寸,"<span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 對 | JP: 対,RSH,RSH1::L22
寺,Buddhist temple,,,169,,sì,land + glue,⿱ (top-bottom),⿱土寸,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: land)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RSH1::L08
寻,seek,,,945,,xún,broom + glue,⿱ (top-bottom),⿱𫜹寸,"<span style=""color:#1a5276"">彐</span> <span style=""color:#666"">broom</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 尋 | JP: 尋,RSH,RSH1::L30
导,guide,,,522,,dǎo,snakeskin + glue,⿱ (top-bottom),⿱巳寸,"<span style=""color:#1a5276"">已</span> <span style=""color:#666"">already</span> <span style=""color:#999"">(alias: snakeskin)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 導 | JP: 導,RSH,RSH1::L20
寿,longevity,"long, gray, beard",,2575,,shòu,bushes + glue,⿸ (top-left-wrap),⿸丰寸,"<span style=""color:#1a5276"">丰</span> <span style=""color:#666"">plentiful</span> <span style=""color:#999"">(alias: bushes)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 壽 | JP: 壽,RSH RTK,RSH2::L39 RSH2::L39 primitive
封,seal,,,167,,fēng,glue + bricks,⿰ (left-right),⿰圭寸,"<span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span><br><span style=""color:#1a5276"">圭</span> <span style=""color:#666"">bricks</span>",,RSH RTH RTK,RSH1::L08
尃,gummed label,,,,,fū,dog tag + glue,⿱ (top-bottom),⿱甫寸,"<span style=""color:#1a5276"">甫</span> <span style=""color:#666"">Fu</span> <span style=""color:#999"">(alias: dog tag)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RSH1::L48 primitive
射,shoot,,,1029,,shè,glued to + somebody,⿰ (left-right),⿰身寸,"<span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glued to)</span><br><span style=""color:#1a5276"">身</span> <span style=""color:#666"">somebody</span>",,RSH RTH RTK,RSH1::L33
将,General,,,244,,jiāng / jiàng / qiāng,turtle + evening + glued to,⿰ (left-right),⿰丬𪧷,"<span style=""color:#1a5276"">兆</span> <span style=""color:#666"">portent</span> <span style=""color:#999"">(alias: turtle)</span><br><span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glued to)</span>",TH: 將,RSH RTK,RSH1::L11
尉,Cardinal Richelieu,,,,,,flag + glued to + altar,⿰ (left-right),⿰𫵖寸,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glued to)</span><br><span style=""color:#1a5276"">示</span> <span style=""color:#666"">show</span> <span style=""color:#999"">(alias: altar)</span>",,RTK RSH RTH,RSH2::L29 primitive
尊,venerate,,,1131,,zūn,chieftain + glue,⿱ (top-bottom),⿱酋寸,"<span style=""color:#1a5276"">酋</span> <span style=""color:#666"">chieftain</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,RSH RTH RTK,RSH1::L37
小,small,,,109,,xiǎo,a drop of,⿲ (left-mid-right),⿲㇒亅丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RSH1::L07 primitive
少,few,,,110,,shǎo / shào,a drop of + small,⿱ (top-bottom),⿱𡭔㇒,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RSH1::L07
尔,you (literary),hiccup,,798,,ěr,small,⿱ (top-bottom),⿱⿰㇒乛小,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",TH: 爾 | JP: 爾,RSH,RSH1::L26 primitive
尖,tip,,,114,,jiān,small + large,⿱ (top-bottom),⿱𡭔大,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: large dog, St. Bernard dog)</span>",,RSH RTH RTK,RSH1::L07
尘,dust,,,161,,chén,small + soil,⿱ (top-bottom),⿱𡭔土,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span>",TH: 塵 | JP: 塵,RSH,RSH1::L08
尚,esteem,,,190,,shàng,small + glass cover + mouth,⿱ (top-bottom),⿱⺌冋,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RSH1::L09
尝,taste,,,1692,,cháng,small + crown + rising cloud,⿱ (top-bottom),⿱龸云,"<span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span><br><span style=""color:#1a5276"">冖</span> <span style=""color:#666"">crown</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span>",TH: 嘗 | JP: 嘗,RSH,RSH2::L18
尞,pup tent,,,,,,St. Bernard dog + teepee + sun + small,⿱ (top-bottom),⿱昚小,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span><br><span style=""color:#1a5276"">癶</span> <span style=""color:#666"">teepee</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,RSH RTH RTK,RSH2::L43 primitive
尤,remarkable,Frankenpooch,,240,,yóu,pooch + human legs,⿺ (bottom-left-wrap),⿺尢丶,"<span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua, pack of wild dogs)</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,RSH RTH RTK,RSH1::L11 primitive
尧,Yao,javelin thrower,,376,,Yáo,halberd + human legs,⿱ (top-bottom),⿱𭠍兀,"<span style=""color:#1a5276"">戈</span> <span style=""color:#666"">halberd</span> <span style=""color:#999"">(alias: fiesta)</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",TH: 堯 | JP: 尭,RSH,RSH1::L16 primitive
尬,embarrassed,,,2500,,gà,Frankenbowser + introduce,⿺ (bottom-left-wrap),⿺尢介,"<span style=""color:#1a5276"">囧尴－监</span> <span style=""color:#666"">Frankenbowser</span><br><span style=""color:#1a5276"">介</span> <span style=""color:#666"">introduce</span>",,RSH RTH,RSH2::L37
就,at once,,,332,,jiù,Frankenpooch + capitol building,⿰ (left-right),⿰京尤,"<span style=""color:#1a5276"">尤</span> <span style=""color:#666"">remarkable</span> <span style=""color:#999"">(alias: Frankenpooch)</span><br><span style=""color:#1a5276"">京</span> <span style=""color:#666"">capital</span> <span style=""color:#999"">(alias: capitol building)</span>",,RSH RTH RTK,RSH1::L14
尴,abashed,,,2499,,gān,Frankenbowser + hidden camera,⿺ (bottom-left-wrap),⿺尢监,"<span style=""color:#1a5276"">囧尴－监</span> <span style=""color:#666"">Frankenbowser</span><br><span style=""color:#1a5276"">监</span> <span style=""color:#666"">supervise</span> <span style=""color:#999"">(alias: hidden camera)</span>",TH: 尷,RSH,RSH2::L37
尸,corpse,flag,,882,,shī,drop + {50},⿰ (left-right),⿰丿{50},"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",TH: 屍 | JP: 屍,RSH,RSH1::L28 primitive
尹,overseer,,,957,,yǐn,⺕ + drop,⿻ (overlaid),⿻{43}丿,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span>",,RSH RTH,RSH1::L30
尺,ruler,,,894,,chě / chǐ,flag,⿸ (top-left-wrap),⿸尸㇏,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span>",,RSH RTH RTK,RSH1::L28
尼,nun,,,883,,ní,flag + spoon,⿸ (top-left-wrap),⿸尸匕,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">匕</span> <span style=""color:#666"">ancient spoon</span> <span style=""color:#999"">(alias: spoon)</span>",,RSH RTH RTK,RSH1::L28
尽,exhausted,,,895,,jǐn / jìn,ruler + ice,⿱ (top-bottom),⿱尺⺀,"<span style=""color:#1a5276"">尺</span> <span style=""color:#666"">ruler</span><br><span style=""color:#1a5276"">冫</span> <span style=""color:#666"">ice</span>",TH: 盡 | JP: 盡,RSH RTK,RSH1::L28
尾,tail,,,1422,,wěi / yǐ,flag + fur,⿸ (top-left-wrap),⿸尸毛,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span>",,RSH RTH RTK,RSH1::L51
尿,urine,,,2137,,niào / suī,water + flag,⿸ (top-left-wrap),⿸尸水,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span>",,RSH RTH RTK,RSH2::L28
局,bureau,,,893,,jú,flag + sentence,⿸ (top-left-wrap),⿸尸⿹𠃌口,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">句</span> <span style=""color:#666"">sentence</span>",,RSH RTH RTK,RSH1::L28
屁,fart,,,2142,,pì,flag + compare,⿸ (top-left-wrap),⿸尸比,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">比</span> <span style=""color:#666"">compare</span>",,RSH RTH RTK,RSH2::L28
层,story,,,892,,céng,flag + rising cloud,⿸ (top-left-wrap),⿸尸云,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span>",TH: 層 | JP: 層,RSH,RSH1::L28
居,reside,,,888,,jī / jū,flag + ancient,⿸ (top-left-wrap),⿸尸古,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",,RSH RTH RTK,RSH1::L28
屈,knuckle under,,,2143,,qū,flag + exit,⿸ (top-left-wrap),⿸尸出,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">出</span> <span style=""color:#666"">exit</span>",,RSH RTH RTK,RSH2::L28
屉,drawer,,,2135,,tì,flag + generation,⿸ (top-left-wrap),⿸尸世,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">世</span> <span style=""color:#666"">generation</span>",TH: 屜 | JP: 屜,RSH,RSH2::L28
届,fall due,,,2173,,jiè,flag + sprout,⿸ (top-left-wrap),⿸尸由,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: sprout)</span>",TH: 屆,RSH RTK,RSH2::L29
屋,habitation,,,886,,wū,flag + until,⿸ (top-left-wrap),⿸尸至,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">至</span> <span style=""color:#666"">until</span>",,RSH RTH RTK,RSH1::L28
屎,excrement,,,2146,,shǐ,flag + rice,⿸ (top-left-wrap),⿸尸米,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">米</span> <span style=""color:#666"">rice</span>",,RSH RTH,RSH2::L28
屏,folding screen,,,2148,,bīng / bǐng / píng,flag + puzzle,⿸ (top-left-wrap),⿸尸并,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">并</span> <span style=""color:#666"">combine</span> <span style=""color:#999"">(alias: puzzle)</span>",,RSH RTH RTK,RSH2::L28
屑,bits,,,2136,,xiè,flag + candle,⿸ (top-left-wrap),⿸尸肖,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble</span> <span style=""color:#999"">(alias: candle)</span>",,RSH RTH RTK,RSH2::L28
展,unfold,,,1426,,zhǎn,flag + salad + barrette,⿸ (top-left-wrap),⿸尸⿱龷{25},"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">囧昔－日</span> <span style=""color:#666"">salad</span><br><span style=""color:#1a5276"">囧丧－十－丷</span> <span style=""color:#666"">barrette</span>",,RSH RTH RTK,RSH1::L51
属,belong to,,,1500,,shǔ / zhǔ,flag + eyedropper + belt + insect,⿸ (top-left-wrap),⿸尸禹,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">囧冂</span> <span style=""color:#666"">belt</span><br><span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span>",TH: 屬,RSH RTK,RSH1::L55
屠,slaughter,,,2310,,tú,flag + puppet,⿸ (top-left-wrap),⿸尸者,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">者</span> <span style=""color:#666"">someone</span> <span style=""color:#999"">(alias: puppet)</span>",,RSH RTH RTK,RSH2::L33
屡,time and again,,,2147,,lǚ,flag + bride,⿸ (top-left-wrap),⿸尸娄,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">娄</span> <span style=""color:#666"">bride</span>",TH: 屢,RSH RTK,RSH2::L28
履,footwear,,,2145,,lǚ,flag + queue + double back,⿸ (top-left-wrap),⿸尸復,"<span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">行</span> <span style=""color:#666"">line of business</span> <span style=""color:#999"">(alias: queue)</span><br><span style=""color:#1a5276"">复</span> <span style=""color:#666"">duplicate</span> <span style=""color:#999"">(alias: double back)</span>",,RSH RTH RTK,RSH2::L28
屯,stockpile,earthworm,,2542,,tún / zhūn,one + pit + fishhook,⿻ (overlaid),⿻一𡳾,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">凵</span> <span style=""color:#666"">pit</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RSH2::L38 primitive
屰,mountain goat,,,,,,animal horns + mountain,⿱ (top-bottom),⿱䒑䶹,"<span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",,RSH RTH RTK,RSH2::L23 primitive
山,mountain,,,688,,shān,pit + walking stick,⿶ (surround-open-top),⿶凵丨,"<span style=""color:#1a5276"">凵</span> <span style=""color:#666"">pit</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L23
