character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
港,port / harbor,1310,,,Gǎng / gǎng,water + lane,⿰ (left-right),⿰氵巷,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">巷</span> <span style=""color:#666"">lane</span>",,RSH RTH RTK,RTH1::L46
渴,thirsty,792,,,kě,water + siesta,⿰ (left-right),⿰氵曷,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">曷</span> <span style=""color:#666"">siesta</span>",JP: 渇,RSH RTH,RTH1::L26
游,go swimming,813,,,yóu,water + banner + child,⿰ (left-right),⿰氵斿,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">囧施－也</span> <span style=""color:#666"">banner</span><br><span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span>",,RSH RTH,RTH1::L28
渺,insignificant,1524,,,miǎo,tears + few,⿰ (left-right),⿰氵眇,"<span style=""color:#1a5276"">泪</span> <span style=""color:#666"">tears</span><br><span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span>",,RSH RTH,RTH2::L08
渾,muddled / gushing,1605,,,hún,water + chariot,⿰ (left-right),⿰氵軍,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">軍</span> <span style=""color:#666"">army</span> <span style=""color:#999"">(alias: chariot)</span>",SH: 浑,RTH RTK,RTH2::L14
湊,gather together / port,2528,,,còu,water + play an instrument,⿰ (left-right),⿰氵奏,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">奏</span> <span style=""color:#666"">play an instrument</span>",SH: 凑,RTH RTK,RTH2::L39
湖,lake,145,,,hú,water + ancient + flesh,⿰ (left-right),⿰氵胡,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,RSH RTH RTK,RTH1::L08
湘,Hunan Province,3023,,,Xiāng,water + one another,⿰ (left-right),⿰氵相,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">相</span> <span style=""color:#666"">one another</span>",,RSH RTH,RTH2::Postscript
湧,gush / bubble up,2378,,,yǒng,water + courageous,⿰ (left-right),⿰氵勇,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">勇</span> <span style=""color:#666"">courageous</span>",SH: 涌,RTH RTK,RTH2::L36
湯,soup / hot water,494,,,shāng / tāng,water + daybreak + knot,⿰ (left-right),⿰氵昜,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">旦</span> <span style=""color:#666"">daybreak</span><br><span style=""color:#1a5276"">勿</span> <span style=""color:#666"">not</span> <span style=""color:#999"">(alias: knot)</span>",SH: 汤,RTH RTK,RTH1::L20
溉,irrigate,2463,,,gài,food + since,⿰ (left-right),⿰氵既,"<span style=""color:#1a5276"">食</span> <span style=""color:#666"">food</span><br><span style=""color:#1a5276"">既</span> <span style=""color:#666"">since</span>",,RSH RTH,RTH2::L37
源,source,140,,,yuán,water + flatlands,⿰ (left-right),⿰氵原,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">原</span> <span style=""color:#666"">flatlands</span>",,RSH RTH RTK,RTH1::L08
準,standard / semi-,504,,,zhǔn,water + turkey + ten,⿱ (top-bottom),⿱淮十,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">隹</span> <span style=""color:#666"">turkey</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",SH: 准,RTH RTK,RTH1::L20
溜,slide / cumulation,1047,,,liū,water + stay,⿰ (left-right),⿰氵留,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">留</span> <span style=""color:#666"">stay</span>",,RSH RTH RTK,RTH1::L36
溝,ditch / gutter,2711,,,gōu,water + wire mesh + glass cover + ground,⿰ (left-right),⿰氵冓,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">𠀎</span> <span style=""color:#666"">wire mesh</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground)</span>",SH: 沟,RTH RTK,RTH2::L47
溢,brim over / brimming,2768,,,yì,water + benefit,⿰ (left-right),⿰氵益,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">益</span> <span style=""color:#666"">benefit</span>",,RSH RTH RTK,RTH2::L50
溪,creek,2342,,,xī,water + vulture + cocoon + St. Bernard dog,⿰ (left-right),⿰氵奚,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">爪</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">幺</span> <span style=""color:#666"">cocoon</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span>",JP: 渓,RSH RTH,RTH2::L35
溫,temperature,1079,,,wēn,water + prisoner + dish,⿰ (left-right),⿰氵𥁕,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">囚</span> <span style=""color:#666"">prisoner</span><br><span style=""color:#1a5276"">皿</span> <span style=""color:#666"">dish</span>",SH: 温 | JP: 温,RTH,RTH1::L37
溯,go upstream,2830,,,sù,water + mountain goat + moon,⿰ (left-right),⿰氵朔,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">屰</span> <span style=""color:#666"">mountain goat</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",JP: 遡,RSH RTH,RTH2::L52
