character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
腦,brain,1466,,,nǎo,moon + 𡿨 + 𡿨 + 𡿨 + Farmer’s Almanac,⿰ (left-right),⿰月𡿺,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">囟</span> <span style=""color:#666"">Farmer’s Almanac</span>",脑,nǎo,flesh + Fagin,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">㐫</span> <span style=""color:#666"">Fagin</span>",脳,moon + eyedropper + eyedropper + dropdrop + cruel,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",RTH,RTH1::L55
惱,annoyed,1467,,,nǎo,heart + 𡿨 + 𡿨 + 𡿨 + Farmer’s Almanac,⿰ (left-right),⿰忄𡿺,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">囟</span> <span style=""color:#666"">Farmer’s Almanac</span>",恼,nǎo,state of mind + Fagin,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">㐫</span> <span style=""color:#666"">Fagin</span>",悩,heart + eyedropper + eyedropper + dropdrop + cruel,"<span style=""color:#1a5276"">忄</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">凶</span> <span style=""color:#666"">cruel</span>",RTH,RTH1::L55
專,specialty,1468,,,zhuān,{7} + glue,⿱ (top-bottom),⿱{7}寸,"<span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",专,zhuān,cornstalk + chop,"<span style=""color:#1a5276"">囧奉－𡗗</span> <span style=""color:#666"">cornstalk</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",専,floor + shoot + glue,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: shoot)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",RTH,RTH1::L55 primitive
傳,spread,1469,,,chuán / zhuàn,person + corncob pipe,⿰ (left-right),⿰亻專,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">專</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",传,chuán / zhuàn,person + corncob pipe,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">专</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",伝,person + rising cloud,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span>",RTH,RTH1::L55
轉,rotate,1470,,,zhuǎn / zhuàn,car + corncob pipe,⿰ (left-right),⿰車專,"<span style=""color:#1a5276"">車</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">專</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",转,zhuǎn / zhuàn,car + corncob pipe,"<span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">专</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",転,car + rising cloud,"<span style=""color:#1a5276"">車</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span>",RTH,RTH1::L55
團,troupe,1471,,,tuán,pent in + corncob pipe,⿴ (surround),⿴囗專,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">專</span> <span style=""color:#666"">specialty</span> <span style=""color:#999"">(alias: corncob pipe)</span>",团,tuán,pent in + genie,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">才</span> <span style=""color:#666"">genius</span> <span style=""color:#999"">(alias: genie)</span>",団,pent in + glue,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",RTH,RTH1::L55
黃,yellow,1472,,,huáng,twenty + floor + shoot + eight,⿱ (top-bottom),⿱廿⿳一由八,"<span style=""color:#1a5276"">廿</span> <span style=""color:#666"">twenty</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">由</span> <span style=""color:#666"">wherefore</span> <span style=""color:#999"">(alias: shoot)</span><br><span style=""color:#1a5276"">八</span> <span style=""color:#666"">eight</span>",黄,huáng,sign of the tiger + flower,"<span style=""color:#1a5276"">寅</span> <span style=""color:#666"">sign of the tiger</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",,,,RTH,RTH1::L55
廣,extensive,1473,,,guǎng,cave + yellow,⿸ (top-left-wrap),⿸广黄,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span> <span style=""color:#999"">(alias: cave)</span><br><span style=""color:#1a5276"">黄</span> <span style=""color:#666"">yellow</span>",广,guǎng,cliff + house,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span>",広,cave + elbow,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span> <span style=""color:#999"">(alias: cave)</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span>",RTH,RTH1::L55 primitive
橫,horizontal,1474,,,héng / hèng,tree + yellow,⿰ (left-right),⿰木黃,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">黃</span> <span style=""color:#666"">yellow</span>",横,héng / hèng,tree + yellow,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">黄</span> <span style=""color:#666"">yellow</span>",,,,RTH,RTH1::L55
窗,window,1475,1483,,chuāng,hole + GPS,⿱ (top-bottom),⿱穴囱,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span><br><span style=""color:#1a5276"">囱</span> <span style=""color:#666"">GPS</span>",,,,,窓,hole + elbow + heart,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span><br><span style=""color:#1a5276"">厶</span> <span style=""color:#666"">elbow</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind, valentine)</span>",RSH RTH,RSH1::L55 RTH1::L55
