character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
賈,merchant,1197,,,gǔ,Old West + shellfish,⿱ (top-bottom),⿱覀貝,"<span style=""color:#1a5276"">覀</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span><br><span style=""color:#1a5276"">貝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: shells, oyster, clam)</span>",贾,gǔ,Old West + clam,"<span style=""color:#1a5276"">西</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span><br><span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span> <span style=""color:#999"">(alias: clam)</span>",,,,RTH,RTH1::L40
價,price,1198,,,jià / jie,person + merchant,⿰ (left-right),⿰亻賈,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">賈</span> <span style=""color:#666"">merchant</span>",价,jià / jie,person + introduce,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">介</span> <span style=""color:#666"">introduce</span>",価,person + Old West,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">覀</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span>",RTH,RTH1::L40
煙,smoke,1199,,1612,yān,flames + Old West + ground,⿰ (left-right),⿰火垔,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames)</span><br><span style=""color:#1a5276"">覀</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground)</span>",烟,yān,fire + cause,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames, fireplace, cooking fire)</span><br><span style=""color:#1a5276"">因</span> <span style=""color:#666"">cause</span>",,,,RTH RTK,RTH1::L40 RTK1v5::L41
南,south,1200,1261,1613,nán,belt + good fortune,⿱ (top-bottom),⿱十⿵冂𢆉,"<span style=""color:#1a5276"">囧冂</span> <span style=""color:#666"">belt</span><br><span style=""color:#1a5276"">幸</span> <span style=""color:#666"">good fortune</span>",,,,,,,,RSH RTH RTK,RSH1::L40 RTH1::L40 RTK1v5::L41
門,gate,1201,,1616,mén,walking stick + {50} + floor + box + floor + 亅,⿰ (left-right),⿰𠁣𠃛,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span>",门,mén,walking stick + eyedropper + clothes hanger,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">𠃌</span> <span style=""color:#666"">clothes hanger</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42 primitive
們,(plural),1202,,,men,person + gate,⿰ (left-right),⿰亻門,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span>",们,men,person + gate,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span>",,,,RTH,RTH1::L41
閒,leisure,1203,,,jiàn / xián,gate + moon,⿵ (surround-open-bottom),⿵門月,"<span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span>",闲,xián,gate + tree,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",,,,RTH,RTH1::L41
問,ask,1204,,1617,wèn,gate + mouth,⿵ (surround-open-bottom),⿵門口,"<span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",问,wèn,gate + mouth,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
間,interval,1205,,1620,jiān / jiàn,gate + sun,⿵ (surround-open-bottom),⿵門日,"<span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",间,jiān / jiàn,gate + sun,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
簡,simple,1206,,1621,jiǎn,bamboo + interval,⿱ (top-bottom),⿱𥫗間,"<span style=""color:#1a5276"">𥫗</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">間</span> <span style=""color:#666"">interval</span>",简,jiǎn,bamboo + interval,"<span style=""color:#1a5276"">竹</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">间</span> <span style=""color:#666"">interval</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
開,open,1207,,1622,kāi,gate + two hands,⿵ (surround-open-bottom),⿵門开,"<span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">开</span> <span style=""color:#666"">open</span> <span style=""color:#999"">(alias: two hands)</span>",开,kāi,two,"<span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42 primitive
聞,hear,1208,,1626,wén,gate + ear,⿵ (surround-open-bottom),⿵門耳,"<span style=""color:#1a5276"">門</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",闻,wén,gate + ear,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
倉,storehouse,1209,,1630,cāng,umbrella + eyedropper + flag + floor + mouth,⿱ (top-bottom),⿱⿵𠆢丶⿸{95}口,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">尸</span> <span style=""color:#666"">corpse</span> <span style=""color:#999"">(alias: flag)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",仓,cāng,umbrella + fingerprint,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">㔾</span> <span style=""color:#666"">fingerprint</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
槍,gun,1210,,2516,qiāng,tree + storehouse,⿰ (left-right),⿰木倉,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">倉</span> <span style=""color:#666"">storehouse</span>",枪,qiāng,tree + storehouse,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span>",,,,RTH RTK,RTH1::L41 RTK3v2::CH02
創,initiate,1211,,1631,chuāng / chuàng,storehouse + dagger,⿰ (left-right),⿰倉刂,"<span style=""color:#1a5276"">倉</span> <span style=""color:#666"">storehouse</span><br><span style=""color:#1a5276"">刂</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span>",创,chuāng / chuàng,storehouse + saber,"<span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span><br><span style=""color:#1a5276"">刀</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: saber)</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
非,non-,1212,1269,1632,Fēi / fēi,three + walking stick + walking stick + three,⿰ (left-right),⿰⿰三丨⿰丨三,"<span style=""color:#1a5276"">三</span> <span style=""color:#666"">three</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42 primitive
排,row,1213,1270,1634,pái,fingers + jail cell,⿰ (left-right),⿰扌非,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">非</span> <span style=""color:#666"">non-</span> <span style=""color:#999"">(alias: jail cell)</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42
罪,guilt,1214,1271,1636,zuì,eye + jail cell,⿱ (top-bottom),⿱罒非,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">非</span> <span style=""color:#666"">non-</span> <span style=""color:#999"">(alias: jail cell)</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42
靠,lean on,1215,1272,,kào,declare + jail cell,⿱ (top-bottom),⿱告非,"<span style=""color:#1a5276"">告</span> <span style=""color:#666"">declare</span><br><span style=""color:#1a5276"">非</span> <span style=""color:#666"">non-</span> <span style=""color:#999"">(alias: jail cell)</span>",,,,,,,,RSH RTH,RSH1::L41 RTH1::L41
侯,marquis,1216,1273,1639,hóu,person + key + dart,⿰ (left-right),⿰亻⿱{14}矢,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span><br><span style=""color:#1a5276"">矢</span> <span style=""color:#666"">dart</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42
候,wait,1217,1274,1640,hòu,marquis + walking stick,⿲ (left-mid-right),⿲亻丨⿱{14}矢,"<span style=""color:#1a5276"">侯</span> <span style=""color:#666"">marquis</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42
決,decide,1218,,1641,jué,water + guillotine,⿰ (left-right),⿰氵夬,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",决,jué,ice + guillotine,"<span style=""color:#1a5276"">冫</span> <span style=""color:#666"">ice</span><br><span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
快,fast,1219,1276,1642,kuài,state of mind + guillotine,⿰ (left-right),⿰忄夬,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",,,,,,,,RSH RTH RTK,RSH1::L41 RTH1::L41 RTK1v5::L42
筷,chopsticks,1220,1278,,kuài,bamboo + fast,⿱ (top-bottom),⿱𥫗快,"<span style=""color:#1a5276"">竹</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">快</span> <span style=""color:#666"">fast</span>",,,,,,,,RSH RTH,RSH1::L41 RTH1::L41
韋,tanned hide,1221,,,wéi,㇯ + mouth + floor + 𠃋 + walking stick,⿱ (top-bottom),⿱𭇁㐄,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",韦,wéi,floor + floor + clothes hanger + walking stick,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">𠃌</span> <span style=""color:#666"">clothes hanger</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,,,RTH,RTH1::L41 primitive
圍,surround,1222,,,wéi,pent in + briar patch,⿴ (surround),⿴囗韋,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">韋</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span>",围,wéi,pent in + briar patch,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span>",囲,pent in + well,"<span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">井</span> <span style=""color:#666"">well</span>",RTH,RTH1::L41
偉,great,1223,,1643,wěi,person + briar patch,⿰ (left-right),⿰亻韋,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">韋</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span>",伟,wěi,person + briar patch,"<span style=""color:#1a5276"">人</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">韦</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
衛,defend,1224,,1646,Wèi / wèi,queue + briar patch + queue,⿲ (left-mid-right),⿲彳韋亍,"<span style=""color:#1a5276"">彳</span> <span style=""color:#666"">line of business</span> <span style=""color:#999"">(alias: queue)</span><br><span style=""color:#1a5276"">韋</span> <span style=""color:#666"">tanned hide</span> <span style=""color:#999"">(alias: briar patch)</span><br><span style=""color:#1a5276"">亍</span> <span style=""color:#666"">line of business</span> <span style=""color:#999"">(alias: queue)</span>",卫,Wèi / wèi,chop + floor,"<span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,,,RTH RTK,RTH1::L41 RTK1v5::L42
干,dry,1225,1279,1648,gān / gàn,floor + ten,⿱ (top-bottom),⿱一十,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43 primitive
岸,shore,1226,1280,1653,àn,mountain + cliff + clothesline,⿱ (top-bottom),⿱山厈,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
幹,trunk,1227,,1654,gàn,mist + umbrella + clothesline,⿰ (left-right),⿰𠦝𫢉,"<span style=""color:#1a5276"">𠦝</span> <span style=""color:#666"">mist</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",干,gān / gàn,floor + ten,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span>",,,,RTH RTK,RTH1::L42 RTK1v5::L43 primitive
旱,drought,1228,1281,2441,hàn,sun + dry,⿱ (top-bottom),⿱日干,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK3v2::CH02
趕,hurry,1229,,,gǎn,walk + drought,⿺ (bottom-left-wrap),⿺走旱,"<span style=""color:#1a5276"">走</span> <span style=""color:#666"">walk</span><br><span style=""color:#1a5276"">旱</span> <span style=""color:#666"">drought</span>",赶,gǎn,walk + clothesline,"<span style=""color:#1a5276"">走</span> <span style=""color:#666"">walk</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,,,RTH,RTH1::L42
于,Yu,1230,1283,,yú,clothesline,⿱ (top-bottom),⿱一𬺰,"<span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,,,,,,,RSH RTH,RSH1::L42 RTH1::L42 primitive
宇,eaves,1231,1284,1656,yǔ,house + clothing conveyor,⿱ (top-bottom),⿱宀于,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">于</span> <span style=""color:#666"">Yu</span> <span style=""color:#999"">(alias: clothing conveyor)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
余,moi,1232,1285,1657,yú,umbrella + clothing conveyor + small,⿱ (top-bottom),⿱𠆢⿱一朩,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">于</span> <span style=""color:#666"">Yu</span> <span style=""color:#999"">(alias: clothing conveyor)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43 primitive
餘,excess,1233,,,yú,food + scale,⿰ (left-right),⿰飠余,"<span style=""color:#1a5276"">飠</span> <span style=""color:#666"">food</span><br><span style=""color:#1a5276"">余</span> <span style=""color:#666"">excess</span> <span style=""color:#999"">(alias: scale)</span>",余,yú,umbrella + clothing conveyor + small,"<span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span><br><span style=""color:#1a5276"">于</span> <span style=""color:#666"">Yu</span> <span style=""color:#999"">(alias: clothing conveyor)</span><br><span style=""color:#1a5276"">小</span> <span style=""color:#666"">small</span>",,,,RTH,RTH1::L42 primitive
除,eliminate,1234,1286,1658,chú,pinnacle + scale,⿰ (left-right),⿰阝余,"<span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span><br><span style=""color:#1a5276"">余</span> <span style=""color:#666"">excess</span> <span style=""color:#999"">(alias: scale)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
途,route,1235,1287,1661,tú,scale + road,⿺ (bottom-left-wrap),⿺辶余,"<span style=""color:#1a5276"">余</span> <span style=""color:#666"">excess</span> <span style=""color:#999"">(alias: scale)</span><br><span style=""color:#1a5276"">辶</span> <span style=""color:#666"">road</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
束,bundle up,1236,1288,1664,shù,tree + mouth,⿻ (overlaid),⿻木口,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43 primitive
速,quick,1237,1289,1669,sù,bundle + road,⿺ (bottom-left-wrap),⿺辶束,"<span style=""color:#1a5276"">束</span> <span style=""color:#666"">bundle up</span> <span style=""color:#999"">(alias: bundle)</span><br><span style=""color:#1a5276"">辶</span> <span style=""color:#666"">road</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
辣,spicy hot,1238,1290,3025,là,chili pepper + bundle,⿰ (left-right),⿰辛束,"<span style=""color:#1a5276"">辛</span> <span style=""color:#666"">peppery</span> <span style=""color:#999"">(alias: chili pepper)</span><br><span style=""color:#1a5276"">束</span> <span style=""color:#666"">bundle up</span> <span style=""color:#999"">(alias: bundle)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::Sup.
整,entire,1239,1291,1670,zhěng,bundle up + taskmaster + correct,⿱ (top-bottom),⿱敕正,"<span style=""color:#1a5276"">束</span> <span style=""color:#666"">bundle up</span> <span style=""color:#999"">(alias: bundle)</span><br><span style=""color:#1a5276"">攵</span> <span style=""color:#666"">taskmaster</span><br><span style=""color:#1a5276"">正</span> <span style=""color:#666"">correct</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
練,practice,1240,,1343,liàn,floss + tree + pent in + animal horns,⿰ (left-right),⿰糹柬,"<span style=""color:#1a5276"">糹</span> <span style=""color:#666"">floss</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span>",练,liàn,thread + rickshaw,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">东</span> <span style=""color:#666"">east</span> <span style=""color:#999"">(alias: rickshaw)</span>",,,,RTH RTK,RTH1::L42 RTK1v5::L36
揀,opt for,1241,,,jiǎn,fingers + tree + pent in + animal horns,⿰ (left-right),⿰扌柬,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span>",拣,jiǎn,fingers + rickshaw,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">东</span> <span style=""color:#666"">east</span> <span style=""color:#999"">(alias: rickshaw)</span>",,,,RTH,RTH1::L42
重,heavy,1242,1292,1675,chóng / zhòng,thousand + li,⿳ (top-mid-bottom),⿳㇒車一,"<span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">里</span> <span style=""color:#666"">li</span> <span style=""color:#999"">(alias: computer)</span>",,,,,,,,RSH RTH RTK,RSH1::L42 RTH1::L42 RTK1v5::L43
懂,understand,1243,1293,,dǒng,state of mind + flower + heavy,⿰ (left-right),⿰忄董,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">重</span> <span style=""color:#666"">heavy</span>",,,,,,,,RSH RTH,RSH1::L42 RTH1::L42
動,move,1244,,1676,dòng,heavy + muscle,⿰ (left-right),⿰重力,"<span style=""color:#1a5276"">重</span> <span style=""color:#666"">heavy</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",动,dòng,rising cloud + muscle,"<span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span><br><span style=""color:#1a5276"">力</span> <span style=""color:#666"">power</span> <span style=""color:#999"">(alias: muscle)</span>",働,person + move,"<span style=""color:#1a5276"">亻</span> <span style=""color:#666"">person</span><br><span style=""color:#1a5276"">動</span> <span style=""color:#666"">move</span>",RTH RTK,L # RTH1::L42 RTH1::L42 RTK1v5::L43
種,species,1245,,1679,zhǒng / zhòng,wild rice + heavy,⿰ (left-right),⿰禾重,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span> <span style=""color:#999"">(alias: wild rice)</span><br><span style=""color:#1a5276"">重</span> <span style=""color:#666"">heavy</span>",种,zhǒng / zhòng,wild rice + middle,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span> <span style=""color:#999"">(alias: wild rice)</span><br><span style=""color:#1a5276"">中</span> <span style=""color:#666"">middle</span>",,,,RTH RTK,RTH1::L42 RTK1v5::L43
衝,collide,1246,,1680,chōng / chòng,queue + heavy + queue,⿲ (left-mid-right),⿲彳重亍,"<span style=""color:#1a5276"">彳</span> <span style=""color:#666"">line of business</span> <span style=""color:#999"">(alias: queue)</span><br><span style=""color:#1a5276"">重</span> <span style=""color:#666"">heavy</span><br><span style=""color:#1a5276"">亍</span> <span style=""color:#666"">line of business</span> <span style=""color:#999"">(alias: queue)</span>",冲,chōng / chòng,middle + ice,"<span style=""color:#1a5276"">中</span> <span style=""color:#666"">middle</span><br><span style=""color:#1a5276"">冫</span> <span style=""color:#666"">ice</span>",,,,RTH RTK,RTH1::L42 RTK1v5::L43
病,illness,1247,1294,1682,bìng,sickness + third,⿸ (top-left-wrap),⿸疒丙,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">丙</span> <span style=""color:#666"">third</span>",,,,,,,,RSH RTH RTK,RSH1::L43 RTH1::L43 RTK1v5::L44
痛,ache,1248,1295,1690,tòng,sickness + chop-rack,⿸ (top-left-wrap),⿸疒甬,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">甬</span> <span style=""color:#666"">chop-rack</span>",,,,,,,,RSH RTH RTK,RSH1::L43 RTH1::L43 RTK1v5::L44
瘋,insane,1249,,,fēng,sickness + windstorm,⿸ (top-left-wrap),⿸疒風,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">風</span> <span style=""color:#666"">wind</span> <span style=""color:#999"">(alias: windstorm)</span>",疯,fēng,sickness + windstorm,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">风</span> <span style=""color:#666"">wind</span> <span style=""color:#999"">(alias: windstorm)</span>",,,,RTH,RTH1::L43
匹,match,1250,,1695,pǐ / pī,box + human legs,⿷ (surround-open-right),⿷匚儿,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">儿</span> <span style=""color:#666"">youngster</span> <span style=""color:#999"">(alias: human legs)</span>",,,,,,,,RTH RTK,RTH1::L43 RTK1v5::L44
區,region,1251,,,qū,box + goods,⿷ (surround-open-right),⿷匚品,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">品</span> <span style=""color:#666"">goods</span>",区,qū,box + sheaf,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span>",,,,RTH,RTH1::L43
