character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
南,south,,,1613,nán,belt + good fortune,⿱ (top-bottom),⿱十⿵冂𢆉,"<span style=""color:#1a5276"">囧冂</span> <span style=""color:#666"">belt</span><br><span style=""color:#1a5276"">幸</span> <span style=""color:#666"">good fortune</span>",,RSH RTH RTK,RTK1v5::L41
単,simple,,,1928,,eyedropper + eyedropper + dropdrop + first + floor,⿱ (top-bottom),⿱𭕄⿻甲一,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">甲</span> <span style=""color:#666"">first</span> <span style=""color:#999"">(alias: radish)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",TH: 單 | SH: 单,RTK,RTK1v5::L53
博,knowledgeable / Dr.,,,47,bó,needle + gummed label,⿰ (left-right),⿰十尃,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">尃</span> <span style=""color:#666"">gummed label</span>",,RSH RTH RTK,RTK1v5::L03
卜,divination / augury,,,2103,bǔ / bo,walking stick + a drop of,,卜,"<span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK3v2::CH01 primitive
占,tell fortunes / fortune-telling,,,48,zhàn / zhān,divining rod + mouth,⿱ (top-bottom),⿱⺊口,"<span style=""color:#1a5276"">卜</span> <span style=""color:#666"">divination</span> <span style=""color:#999"">(alias: divining rod)</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTK1v5::L03
卯,sign of the hare,,,2041,,{39} + drop + stamp,⿰ (left-right),⿰𠂎卩,"<span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">卩</span> <span style=""color:#666"">stamp</span>",,RTK,RTK1v5::L56
印,print / stamp,,,1425,Yìn / yìn,staples + stamp,⿰ (left-right),⿰{72}卩,"<span style=""color:#1a5276"">囧印－卩</span> <span style=""color:#666"">staples</span><br><span style=""color:#1a5276"">卩</span> <span style=""color:#666"">stamp</span>",,RSH RTH RTK,RTK1v5::L37
危,danger / dangerous,,,1416,wēi,bound up + cliff + fingerprint,⿸ (top-left-wrap),⿸厃㔾,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">㔾</span> <span style=""color:#666"">fingerprint</span>",,RSH RTH RTK,RTK1v5::L37
即,immediately / instant,,,1462,jí,silver + stamp,⿰ (left-right),⿰{18}卩,"<span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span><br><span style=""color:#1a5276"">卩</span> <span style=""color:#666"">stamp</span>",,RSH RTH RTK,RTK1v5::L38
却,withdraw / instead,,,1395,què,go + stamp,⿰ (left-right),⿰去卩,"<span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span><br><span style=""color:#1a5276"">卩</span> <span style=""color:#666"">stamp</span>",TH: 卻,RSH RTK,RTK1v5::L37
